Short description,sd_len,sd_word_count,Description,desc_len,desc_word_count,Language,Caller,Assignment group
password,8,1,receive from email hi please reset password and send the password to log in well,80,15,English,xzjlkfvc agfmpyhr,0
create sso for qiyujevw ogadikxv,32,5,create purchasingupstreamsso ad group for qiyujevw ogadikxv wanrtygm the samaccountname in ad be to be all low case,115,18,English,xszoedmc gmhkdsnw,2
unlock account email in cell phone the user michthey olivgtyera would olivgtyemc,80,12,hello team could please unlock account email in cell phone the user michthey olivgtyera would olivgtyemc,104,16,English,qasdhyzm yuglsrwx,0
abended job in job scheduler job d,34,7,receive from email abended job in job scheduler job d at,56,11,English,ZkBogxib QsEJzdZO,6
dynamics crm advanced find ribbon issue,39,6,the ribbon in advanced find be displace make difficult to query the system create view see attach,97,17,English,siqobhlz vwljuize,40
when use phone connection be intermittent can not use desk phone for call and skype meeting,91,16,cell phone be other people at jc have complain about the same thing,67,13,English,aedwrpvo qbpafrsx,4
vpn link,8,2,vpn link,8,2,English,wbecophk uwntkiar,0
unable to login to skype,24,5,unable to login to skype,24,5,English,sbvlxuwm yanbikrx,0
error in access reporting engineering tool,42,6,error in access report engineering tool bill this would need to be a ticket gso – please assign to the analytic technical team may be that the t account for magda be lock out can republish use an analytic t account,214,41,English,urhpnlaf agmsfqil,9
engineering tool permition to sign in include user would on cad user list,73,13,i need have access on engineering tool however when i try do logon engineering tool show te message that i have permission please include user would on cad user list let know if need more information contact phone,213,38,English,qdgcilzf cpzlmesa,0
reset password for esias bosch use password management tool password reset,74,11,the,3,1,English,paqrentz gcnyaxsb,17
error login on to the sid system,32,7,error login on to the sid system verify user detail employee manager name user have try the password management tool pwd manager unlock the erp would caller confirm that be able to login issue resolve,200,35,English,aylrbosw gaeycbwd,0
reporting tool web link in crm not open up,42,9,reporting tool web link in crm not open up,42,9,English,fpbmtxei jtqbcnfs,0
sharepiont discount request error,33,4,infopath can not submit the form an error occur while the form be be submit the form can not be submit to the following location the site may be offline read only or otherwise unavailable access deny before open file in this location must first add the web site to trust site list browse to the web site and select the option to login automatically,348,65,English,dymwulbi dkbvqhna,0
erp access,10,2,name nxloukai cpbzkrel language browser microsoft internet explorer email email customer number telephone summary i need an update on ticket ticket no this need to be resolve aerp,179,28,English,rbozivdq gmlhrtvp,0
unable to launch outlook,24,4,unable to launch outlook,24,4,English,xeocpjsu hqwxumfb,0
company center page do not load,31,6,company center page do not load,31,6,English,fpbmtxei jtqbcnfs,0
system login issue,18,3,login issue verify user detail employee manager name check the user name in ad and unlock the account advise the user to login and check caller confirm that be able to login issue resolve,187,34,English,ybplwrez lqcyehbf,0
netweaver not work,18,3,netweaver not work name iauqlrjk nijdaukz language browser microsoft internet explorer email email customer number telephone summary i be not able to open net weaver business client i receive an error that microsoft net framdntyework be not instal and to contact administrator,276,42,English,iauqlrjk nijdaukz,0
qualys scan for require server completion hostname new,54,8,category task owner documentation see attach server profile form nvyjtmca xjhpznds global security create global group and add the appropriate user security group local security implement local user group security tool kathght shfhyw monitoring add to report tool monitoring dac inventory erirtc baurhty hoavdlwc ungksotp sep add server to sep management server akisjtzm uvbmysgcbenezer kishore nikam sms patch antivirus sw add server to sms patch antivirus sw shahid nawab security run qualsys scan gzhapcld fdigznbk ugyothfz ugrmkdhx backup configure backup local remote timnhyt rehtyulds gdhyrts muggftyali,609,86,English,gzhapcld fdigznbk,2
shop floor app problem,22,4,from vldwtjgr vtzakpol send wednesday august pm to nwfodmhc exurcwkm cc dctvfjrn oypnxftq subject amar re shop floor app problem help desk be experience problem widtqkwzup vtkzuqly in the tin cell please assign the shop floor app support group to work on this issue the operator be report that not all the production order be badge be post please let know what further info need from,383,66,English,vldwtjgr vtzakpol,43
engineering tool error,22,3,engineering tool error,22,3,English,mofjyqrh bcyzmkia,0
password reset as expire,24,4,name ivxybewh ykhsqvnu language browser microsoft internet explorer email email customer number telephone summary i need all of password reset so i can log into computer and into erp,182,29,English,ivxybewh ykhsqvnu,0
unable to launch outlook,24,4,unable to launch outlook,24,4,English,navfgybz fuavxjzk,0
vitalyst transfer service unavailable on crm online,51,7,vitalyst transfer service unavailable on crm online,51,7,English,wipzvlug urmdkgpa,0
windows password reset,22,3,windows password reset,22,3,English,xeocpjsu hqwxumfb,0
hardware issue,14,2,when user be try to use a separate computer t install a software s get a message state that window can not connect to the domain either because the domain controller be down or otherwise unavailable or because computer account be not find this computer need to replace a dead pc in the shop floor and user need to install a software to make up and run,351,67,English,clgfntoe rhtmnzsk,3
call transfer to amfgtyartya for password,41,6,call transfer to amfgtyartya for password,41,6,English,fumkcsji sarmtlhy,0
try to access collaboration platform site,41,6,i m try to access this collaboration platform site i believe be manage by bill gofgrthyuetz who leave the company i request access on and haven t receive a response,164,30,English,etvendormhd xpslzunb,16
password reset,14,2,password reset,14,2,English,dpvnhlmb anzhbtfy,0
hi team laptop s random shut down problem still exist now show no battery detect,80,15,hi team laptop s random shut down problem still exist i lose important unsaved datum because of now show no battery detect please replace battery or laptop or please rectify the issue as soon as possible,203,36,English,nwdlefxk epzrghnv,3
tfrbwoua aegpkruc unable to print from pdf,42,7,tfrbwoua aegpkruc unable to print from pdf,42,7,English,olckhmvx pcqobjnd,0
urgent need full py access for all german location,50,9,hi could please usa full access permission for maintain py datum in erp for all german location reference would can be mnakehrf mvunqihf or hess kagthrl heyinz approval can be provide by jywvemun qngschtz,204,34,English,couskjgd uzojtkmh,2
increase the ramdnty from gb to gb ramdnty for hostname,55,10,increase the ramdnty from gb to gb ramdnty for hostname server,62,11,English,vthuzanc fqdgotvx,12
reset password request for bobj,31,5,receive from email hello please reset password for bobj in sid user name be mcfgtydonn,86,15,English,iqcylpok ascpqvni,0
zip code enter into erp account in sid do not synch with msd crm,64,14,hello account zip code be update in erp sid however do not move to msd crm the error say the post code be not valid do know in what format the postal code should be enter for israel can elogic share the rule regard postal code format with lucinda´s team please,260,51,English,ugephfta hrbqkvij,40
decommission of hostname old,28,4,from zmgsfner caltmgoe send july to sadghryioshkurtyar hiremath email cc mfyivqes cpihaxbs email subject hostname old hi can remove the old hostname from the domain now i have not need to access recently let know when be do and i will power down and move into storage,267,47,English,zmgsfner caltmgoe,12
password reset request from o,29,5,password reset request from o,29,5,English,tlvcjdmk fbpvrqzh,0
low disk space on lhqsid f drive,32,7,from vwaliogd dviwuzhm send friday august pm to gdhyrts muggftyali email sadghryioshkurtyar hiremath email cc stefyty parkeyhrt email wyjsbzda yfeuhtib email subject low disk space on lhqsid f drive hi nagfghtyudra sadghryiosh i be check access to lhqsid for tomorrow s dot net application deployment and realize f be run out of space with only kb free space be this ok if not request help to clear off any temporary file to free up some space add stefyty parkeyhrt in cc if need approval to move over file between drive if require,531,92,English,vwaliogd dviwuzhm,12
t drive folder access,21,4,access to request directory folder access request user would user would karagtfma use the position title user s position title manager commodity amerirtcas directory folder hostname all item under purchase type of access type of access read only or full control full control name of supervisor name manager,306,48,English,vfrdxtqw jfbmsenz,34
unable to launch outlook,24,4,unable to launch outlook,24,4,English,wjtzrmqc ikqpbflg,0
eu tool not work,16,4,eu tool not work message unknown error distributor tool system error,68,11,English,cwrikael oanmsecr,0
telephony software erp,22,3,the term of payment be not in line between crm and erp customer fredi stury ag ruemlang sales org crm entry day net day erp entry day net day i suggest that both system should reflect the same datum accord to the information receive from repyzajo lxfwopyq be request by sale and approve by finance could please change back to,325,60,English,atlwdyej vtlhzbix,15
outlook be not open,19,4,outlook be not open,19,4,English,nqdyowsm yqerwtna,0
account lock,12,2,account lock,12,2,English,cwrikael oanmsecr,0
password reset request for kiosk user,37,6,password reset request for kiosk user,37,6,English,ughzilfm cfibdamq,0
oprbatch extend plant view on fert item with miss incorrect setting,67,11,oprbatch extend plant view on fert item with miss incorrect setting mm extend to plant miss abc spt incorrect and mrptype incorrect mm extend to plant miss abc spt incorrect mrp type incorrect delivery plant incorrect for sale org mm extend to plant miss abc spt incorrect mrp type incorrect in addition when oprbatch extend price control be default to v depend on source should be s and this always need correct manually,421,73,English,xkmvpaei fizqoprk,29
mmaster sales org extension create by oprbatch be create error in matgrp and material statistic,95,15,mmaster sales org extension create by oprbatch be create error in matgrp and material statistic example extend on august which have to correct this morning sale org sale org have today that be blank and need correct if manually extend these the system doesn t allow to save with a blank need oprbatch to populate these field mmaster sale org extension create by oprbatch be create error in matgrp and material statistic example extend on august which have to correct this morning sale org sale org have today that be blank and need correct if manually extend these the system doesn t allow to save with a blank need oprbatch to populate these field,648,114,English,xkmvpaei fizqoprk,29
can not use net weaver business client,38,7,receive from email dear sir i can not use net weaver business client please support for this issue cid email with warm,118,22,English,uvoyrbhp qbupdjhw,0
device replacement setup new hp laserjet m mfp replace old ag tel,65,12,device replacement setup new hp laserjet m mfp replace old ag tel,65,12,English,dqeowzux cjorxvew,28
netframdntyework business client sid deployment across amerirtcas specific list of pc s th aug,94,14,receive from email dear folk have plan to deploy the dotnetframdntyework business client sid on the enclosed list of engineering tool application instal pc s of amerirtcas region from thursday th aug and also please ensure that all these user as enclose be familiar with the package installation step type of package installation duration importance of the package mode of the installation time of reboot and installation behavior through refer the below detail note this be to deploy only on pc s of amerirtcas that have engineering tool application instal identify by engineering tool application team – prioritize list package detail deployment date aug th thursday time be in the morning as per the respective location time zone deployment tool patch antivirus sw package type prompt user will be prompt with prior notification to save all the work before proceed the installation through click the continue button duration minute restart require yes prompt to restart after the installation of netframdntyework business client sid package behavior please go through the below provide bill bankrd and understand the importance of the package deployment cid email,1166,183,English,yqlvfkih folbpugd,0
laptop be have blue screen,26,5,laptop be have blue screen,26,5,English,qekdgaim wagshrzl,0
send from snip tool,19,4,receive from email hello after update the erp i be face problem in oppene the attachment in erp quote please resolve immidiately as this be cause problem for regular activity cid email warm,189,33,English,afwzehqs jfbxegac,0
discount,8,1,can not access discount through collaboration platform,54,7,English,xioapjvd yiqubxmz,0
engineering tool be get lock out frequently,43,7,engineering tool be get lock out frequently,43,7,English,ewztnhig boixplft,0
holiday list need rebuild,25,4,someone have delete all of the holiday entry from the holiday list on the hub there should be a backup in metavis that can be restore please restore the list,157,30,English,sdxjiwlq ynowzqfh,16
outlook issue,13,2,summary unable to login to outlook,34,6,English,xhjmzyis bsduwrix,0
business client prompt relate to java promts,44,7,please refer attachment to this ticket for more information,59,9,English,tghrloks jbgcvlmf,11
erp password reset request,26,4,erp password reset request,26,4,English,hudrkqcg qyhkctrd,0
setup new ws thnsguzj utwijzag,30,5,setup new ws thnsguzj utwijzag,30,5,English,thnsguzj utwijzag,24
setup new ws yucgfmiq jamgpnqe,30,5,setup new ws yucgfmiq jamgpnqe,30,5,English,yucgfmiq jamgpnqe,24
setun new ws michghytuael luesebrink,36,5,setun new ws michghytuael luesebrink,36,5,English,wnicojsd evwplcxy,24
setup new ws uhammet kuluz,26,5,setup new ws uhammet kuluz,26,5,English,dkrbwceu aiqkycwp,24
install bit version of ms office for pc in the office blank manufacture njdrcagt shourxyp,89,15,install bit version of ms office for pc in the office blank manufacture njdrcagt shourxyp,89,15,English,njdrcagt shourxyp,24
report dscsag dms kpro contv clean be result in abap runtime error in sid,73,14,i try to run the report dscsag dms kpro contv clean in sid through background job with the follow input but result in abap runtime error show below input variant ugi clean application ugi quantity of inactive content version i have attach the screen shot of the same in the document be work on this ticket inc plm content version be generate without configuration this report refer to this ticket,396,70,English,pldtreob fznbeusj,14
forget attendance tool password,31,4,forget attendance tool password,31,4,English,teqkxlra vbinmucx,0
seek outlock,12,2,receive from email hallo help team i have the problem that when i search for email send be on the search for name the following error message there be always only proposal until please check back and info thank a lot cid email child with friendly greeting,255,47,English,giumxwvh lfvwjtin,28
abended job in job scheduler job,32,6,receive from email abended job in job scheduler job at,54,10,English,ZkBogxib QsEJzdZO,8
outlook be not work,19,4,outlook be not work,19,4,English,cthaborg cahbxlmr,0
reset password for erp sid,26,5,reset password for erp sid,26,5,English,xhjmzyis bsduwrix,0
abended job in job scheduler job,32,6,receive from email abended job in job scheduler job at,54,10,English,ZkBogxib QsEJzdZO,8
microsoft outlook be not work for pdujfybc bvfdnale,51,8,microsoft outlook be not work for pdujfybc bvfdnale pls check pc edww,69,12,English,vwpxjtof vmidzswj,33
visio printer and wireless mouse,32,5,help to configure the wireless device would printer and install the visio on the reimaged laptop,96,16,English,xezjvnyr hmjwknxs,19
user call to give information regard ticket no,46,8,user call to give information regard ticket no,46,8,English,efbwiadp dicafxhv,0
account change new password get many error in passwordmanage system,67,10,account change new password get many error in passwordmanage system erp system password could not change distributor tool system,128,19,English,tpoweajk glvztyxp,0
business client issue,21,3,how do i change the message server when connect to sid i believe that should be lhqx,84,17,English,ctvaejbo mjcerqwo,11
file can not print to the printer the printer prompt error,58,11,prtsid file can not print to the printer the printer prompt error,65,12,English,rtjwbuev gfpwdetq,31
fund,4,1,hello below mail be definitely a spam mail kindly take note of the same also if be ok than forward this mail to all the employee to warn everyone,145,29,English,srqyfjxz lnagtjzi,0
new prospect account create in crm do not get an erp number,59,12,hello i have two specific case where a newly create prospect account in crm modern construction and sandfield engineering do not get an erp number even after some day after have run an advanced find search i find have such case please see attach file that describe the issue and the unique step if prospect do not get an erp would result in the fact that do not show up in the user ´ active prospect view because filter on prospect with erp would user think that the account be not create and create the over and over again should review if want to change the logic behind this view i assume the filter be put in to exlude non complete account another issue i find during this troubleshooting process be i deactivate such a duplicate prospect and the audit log show that minute later the account get activate again and get the erp number too please investigate this one too,873,161,English,ugephfta hrbqkvij,40
quotation with configured new simple special item remain incomplete in sid,74,11,quotation with configured new simple special item remain incomplete in sid quote be create in distributor tool a quote alternate mill model item get not replace with material of initial item b quote and pricing remain incomplete i can not identify what be actually incomplete but erp show the status incomplete and therefore the quote can not be print and send to customer over web,381,65,English,iavozegx jpcudyfi,13
hostname germany de patch antivirus sw production be inactive since am est,74,12,germany patch antivirus sw server hostname show down since am est kindly check,78,13,English,uxgrdjfc kqxdjeov,12
hostname hr tool tax interface app qa average sample total cpu be now which be above the error threshold,104,19,hostname hr tool tax interface app qa average sample total cpu be now which be above the error threshold,104,19,English,uvrbhlnt bjrmalzi,12
erp access issue,16,3,system sid sid sid sid hrp other sid enter user would of user have the issue chopamghy transaction code s the user need or be work with spro describe the issue need the access of spro transaction in sid if be get a not authorize message recreate the condition then do nsu and attach result to the ticketing tool ticket provide access the same as this other user milyhyakrp,372,69,English,akhdmgwt yhgpafqx,2
engineering tool,16,2,the password be turn enter incorrectly please password reset engineering tool and erp thank,91,14,English,gasbfqvp fmvqgjih,0
erp sid account lock,20,4,erp sid account lock,20,4,English,ngcedtzy pfribotd,0
while create the order in distributor tool inco and shipping condition be come wrong,84,14,rabhtui and all look like may still have a web issue the folk at the warehouse have see some instance where the carrier have be a carrier tcode but the inco sc be cip so kis be try to change to up ground in one case look like the inco sc be pull from the sell to the carrier be come from the ship to and in another look like the customer change the carrier but be flat rate already because i didn t see that carrier option list as a default on either the sell to or ship to here be the two example from the warehouse delivery sale order come over as cip tfedpnd sell to be cip tupsgrnd ship to be fca tfedground w acct come over as cip tfedground sell to be cip tupsgrnd ship to be fca tups w acct,697,145,English,qtiyzjaw rxtpbqvu,20
erp sid account lock,20,4,erp sid account lock,20,4,English,cgvhxjay znyuopqk,2
abended job in job scheduler bkbackup tool reporting tool prod inc,66,11,receive from email abended job in job scheduler bkbackup tool reporting tool prod inc at,88,15,English,ZkBogxib QsEJzdZO,8
enterprise scanner not work,27,4,enterprise scanner not work,27,4,English,fplzydvo fwilgedx,0
mobile device be temporarily block from synchronize use exchange activesync until administrator usas it acc,107,15,from grhryueg dewicrth send wednesday august am to nwfodmhc exurcwkm subject rad fwd mobile device be temporarily block from synchronize use exchange activesync until administrator usas access importance high can please unblock and usa access to new phone,255,38,English,kehtxprg uekapfzt,0
not get any old mail in outlook kindly do the needful to restore the same and help store in separate,100,20,name kargthythik language browser microsoft internet explorer email email customer number telephone summary i be not get any old mail in outlook kindly do the needful to restore the same and help store in separate location,222,36,English,hjcpyxtq okycpbsz,0
unable to login to vpn and reset password,41,8,unable to login to vpn and reset password,41,8,English,xiaurwpz hzusljmc,0
bex password be lock due to wrong typing please reset the password,66,12,name zcqnuawo zxdtskpw language browser microsoft internet explorer email email customer number telephone summary bex password be lock due to wrong typing please reset the password,180,26,English,zcqnuawo zxdtskpw,0
email back problem in outlook,29,5,receive from email hi i be not get any old mail in outlook kindly do the needful to restore the same and help store in separate location,136,27,English,hjcpyxtq okycpbsz,0
pc to be make as stand by own,29,8,receive from email dear sir pc number awyw should be make as stand by own should not be connect to network as be use for cmm machine require a separate pc kindly do the needful,176,35,English,kzybxher prjaswhe,19
abended job in job scheduler job,32,6,receive from email abended job in job scheduler job at,54,10,English,ZkBogxib QsEJzdZO,8
can not open engineering tool,29,5,receive from email hello when i try to open engineering tool i get this so i delete engineering tool off computer and then reinstall and i still get this,153,29,English,anpocezt qturbxsg,0
abended job in job scheduler sid hoti,37,7,receive from email abended job in job scheduler sid hoti at,59,11,English,ZkBogxib QsEJzdZO,8
abended job in job scheduler sid hotf,37,7,receive from email abended job in job scheduler sid hotf at,59,11,English,ZkBogxib QsEJzdZO,8
abended job in job scheduler bk hana sid erp dly dp,51,11,receive from email abended job in job scheduler bk hana sid erp dly dp at,73,15,English,ZkBogxib QsEJzdZO,8
bex can not convert to excel sheet,34,7,bex can not convert to excel sheet,34,7,English,jgautdmk fpurxzew,0
domain account unlock,21,3,domain account unlock,21,3,English,tjlizqgc ngvwoukp,0
i m try to help nkademwy ihsepkwz log into oneteam to update direct deposit information,87,15,ic welcome next available agent will be with shortly interaction alert agent website visitor have join the conversation rakthyesh ramdntythanjesh hello christgry,161,22,English,dmytraiq ixkuqyst,0
unable to view screen on monitor when lid be close,50,10,unable to view screen on monitor when lid be close,50,10,English,xpugzdvk xiawvmfp,0
open online system provide by the customer,42,7,online delivery order generation system provide by the customer do not open need to be address as soon as possible,114,20,English,fupikdoa gjkytoeh,48
abended job in job scheduler job,32,6,receive from email abended job in job scheduler job at,54,10,English,ZkBogxib QsEJzdZO,9
sid vf vf price problem zor agains zf inwarehouse tool,54,10,have face problem with the inwarehouse tool the price into the order be correct but the inwarehouse tool have another price example order confirm delivery inwarehouse tool example order confirm delivery inwarehouse tool i must issue the inwarehouse tool hour after the import payment in this moment stop the process,315,50,English,zvjwleuo tdfqgcal,13
can not load finance app,24,5,receive from email hello each time i select oracle enterprise from bar i get the follow error cid email kind,108,20,English,pjxclyhs fcniljtu,55
employment status employee termination for user dbsgicet xzopjhlq vvgtyhpej,75,9,employee last name peghyurozich employee first name jpsgeghtyui employee number employee location usa manager s name bwfhtumx japznrvb employee s cost center bdf employee self service ess user only employee s last day of work special instruction,245,37,English,bwfhtumx japznrvb,2
reset password for nathyuasha smoltelephony software use password management tool password reset,96,12,globalview prtgghjk reset please,32,4,English,qctdugsi bfqlgvos,17
the snmp agent at be not respond infoblox usa datacenter primary dns,68,12,the snmp agent at be not respond infoblox usa datacenter primary dns,68,12,English,rkupnshb gsmzfojw,56
job d be run longer than minute kirtyled and rerun to successful completion,75,13,receive from email abended job in job scheduler job d at,56,11,English,ZkBogxib QsEJzdZO,6
please unlock account email in cell phone the user rabkypet zocjdutp would fothrmijm and ltmoubvy utrimobs gomeshthyru,118,17,hello team could please unlock account email in cell phone the user rabkypet zocjdutp would fothrmijm and ltmoubvy utrimobs gomeshthyru,135,20,English,qasdhyzm yuglsrwx,0
circuit outage usa pa plant comcast secondary circuit be down at pm et on,73,14,what type of outage network x circuit power please specify what type of outage top cert site yes yes no na when do start pm et on scheduled maintenance power no yes no na company power provider power schedule maintenance network no yes no na company maint yes no provider maint ticket do site have a backup circuit yes yes no na backup circuit active yes yes no na site contact notify phone email yes no na remote dial in na yes no na equipment reset na yes no na verify site work on backup circuit yes yes no na vendor ticket global telecom verizon telecom vendor telecom vendor notify gsc yes no na cert start yes no na additional diagnostic,643,121,English,rkupnshb gsmzfojw,8
excel continue to crash with workbook open,42,7,error message excel can not complete the task with available resource choose less datum or close other application also excel have stop work and i have beshryue out area of screen or distort screen that don t refresh the excel view no pivot table or complex macro in use only excel with outlook skype powerpoint open laptop fan run constantly in dock with excel in use,368,66,English,stdezpqw bkmeuhfz,0
update dns on printer,21,4,update dns on printer model hp laser jet dn dynamic ip address fqdn prtqi short name sid print server hostname,110,20,English,mfeyouli ndobtzpw,0
as per inc security incident in possible trojan infection host,62,10,from gzhapcld fdigznbk send wednesday august am to jenfrgryui lu cc sam wanrtyg stefytyn shi cothyshy wu qfrntose ivnhumzjalakrisyuhnyrtn nyrjkctu tbhkenlo ugyothfz ugrmkdhx suhtnhdyio psfshytd kathght shfhyw bhayhtrathramdnty mamilujli subject inc security incident in possible trojan infection host hello jenfrgryui be get alert possible downloader trojan from user would lughjm device source from and destine to host indicate that host may be infect with malware due to the nature of this threat may be difficult to detect the compromise because of the detection difficulty and severity of the threat dell secureworks recommend that remove the pc off the network at the early format the hard drive and install a new system be not reliable to attempt to clean the virus in the meantime as this be a high severity issue be move the correspond account user would lughjm to palo virus quarantine group no internet access common way that computer become infect be list below please inform team if know how pc may have become infect use a portable usb drive also know as pen drive or thumb drive click a phishe email link visit website that may have be compromise by a hacker hello apac pc service after the pc have be re image with immediate effect please let know have create a ticketing tool ticket and assign to europe pc services inc,1335,224,English,gzhapcld fdigznbk,2
security incident dsw in suspicious ms rpc ms ds netbios activity hostname,74,12,source ip system name hostname santiago south amerirtca backup exec server user name uidgt olibercsu olvidley location santiago south amerirtca sep sms status see below field sale user yes no no dsw event log see below content version fmxcnwpu tcwrdqboinition version r sequence host integrity content not available reputation setting r ap portal list r intrusion prevention signature r power eraser definition r revocation content r eraser engine sonar content r extend file attribute and signature r symantec permit application list r incident overview have detect at least occurrence of firewall company internal asa company com drop traffic sourcing from hostname and destine to port of one or more destination device this activity may indicate one of the follow an infection on this host a misconfigured firewall a misconfigured host port scan authorize or unauthorized be escalate this incident to via a high priority ticket and a phone call per default event handle procedure if would like to handle these incident differently in the future see below for handle option or if have any further question or concern please let know either by correspond to via this ticket and delegate the ticket back to the soc or by call at ticket only escalation for these alert where the traffic be block explicit notification via a medium priority ticket no phone call automatically resolve these alert where the traffic be block to the portal no explicit notification but event will be available for report purpose in the portal sincerely dell secureworks soc technical detail historically there have be various worm malware that have use port and to propagate example include w blaster worm msblast lovsan w welchia nachi w reatle port microsoft epmap end point mapper also know as dce rpc locator service port netbios netbios name service port netbios netbios datagramdnty service port netbios netbios session service port microsoft ds smb file share additional information on these port and good practice can be find at the follow site reference event datum relate event event would event summary internal outbreak for tcp log time at source ip source hostname hostname destination hostname device ip device name company internal asa company com event extra data inspectorruleid sherlockruleid cvss ontologyid srchostname hostname eventtypeid ctainstanceid foreseeglobalmodelassessmt unknown irreceivedtime foreseemalprobglobalmodel inspectoreventid eventtypepriority proto tcp dstport action block ileatdatacenter true foreseemaliciouscomment globalmodelversion null or empty model find foreseeinternalip logtimestamp agentid foreseeconndirection internal srcassetofinterest srcport occurrence count event count event detail jul asa inbound tcp connection deny from to flag syn on interface inside jul asa deny tcp src inside dst outside by access group acl inside xedbf x jul asa deny tcp src inside dst outside by access group acl inside xedbf x jul asa deny tcp src inside dst outside by access group acl inside xedbf x jul asa inbound tcp connection deny from to flag syn on interface inside jul asa deny tcp src inside dst outside by access group acl inside xedbf x jul sartlgeo lhqksbdx asa deny tcp src inside dst outside by access group acl inside xedbf x jul asa deny tcp src inside dst outside by access group acl inside xedbf x jul asa inbound tcp connection deny from to flag syn on interface inside jul asa deny tcp src inside dst outside by access group acl inside xedbf x jul sartlgeo lhqksbdx asa deny tcp src inside dst outside by access group acl inside xedbf x jul asa inbound tcp connection deny from to flag syn on interface inside jul asa deny tcp src inside dst outside by access group acl inside xedbf x jul asa deny tcp src inside dst outside by access group acl inside xedbf x jul asa deny tcp src inside dst outside by access group acl inside xedbf x jul asa deny tcp src inside dst outside by access group acl inside xedbf x event would event summary internal outbreak for tcp log time at source ip source hostname hostname destination hostname device ip device name company internal asa company com event extra data inspectorruleid sherlockruleid cvss ontologyid srchostname hostname eventtypeid ctainstanceid foreseeglobalmodelassessmt unknown irreceivedtime foreseemalprobglobalmodel inspectoreventid eventtypepriority proto tcp dstport action block ileatdatacenter true foreseemaliciouscomment globalmodelversion null or empty model find foreseeinternalip logtimestamp agentid foreseeconndirection internal srcassetofinterest srcport occurrence count event count event detail jul asa deny tcp src inside dst outside by access group acl inside xacbc x jul asa deny tcp src inside dst outside by access group acl inside xacbc x jul asa deny tcp src inside dst outside by access group acl inside xacbc x jul asa deny tcp src inside dst outside by access group acl inside xacbc x jul asa inbound tcp connection deny from to flag syn on interface inside jul asa inbound tcp connection deny from to flag syn on interface inside jul asa deny tcp src inside dst outside by access group acl inside xacbc x jul asa deny tcp src inside dst outside by access group acl inside xacbc x jul asa inbound tcp connection deny from to flag syn on interface inside jul sartlgeo lhqksbdx asa deny tcp src inside dst outside by access group acl inside xacbc x jul asa deny tcp src inside dst outside by access group acl inside xacbc x jul asa deny tcp src inside dst outside by access group acl inside xacbc x jul sartlgeo lhqksbdx asa deny tcp src inside dst outside by access group acl inside xacbc x jul asa deny tcp src inside dst outside by access group acl inside xacbc x jul asa deny tcp src inside dst outside by access group acl inside xacbc x jul asa inbound tcp connection deny from to flag syn on interface inside,5831,947,English,ugyothfz ugrmkdhx,2
hostname epmsystem exe wrong number of instance of process epmsystem exe expect find,84,13,observe below alert in reporting tool since pm on et note that have open a ticket inc earlier for the same issue but look like that time issue be resolve epmsystem exe wrong number of instance of process epmsystem exe expect find,229,42,English,jloygrwh acvztedi,12
